ID,1.1.,1.2.,2.1.,2.2.,3.1.,3.2.,4.1.,4.2.,5.1.,5.2.,6.1.,6.2.,7.1.,7.2.,8.1.,8.2.,9.1.,9.2.,10.1.,10.2.,11.1.,11.2.,12.1.,12.2.,13.1.,13.2.,14.1.,14.2.,15.1.,15.2.
1,2,9,2,6,1,3,3,6,3,8,1,3,2,10,1,6,2,5,1,7,0,1,0,9,0,0,1,6,3,10
2,3,8,3,7,1,4,3,9,3,9,2,6,3,10,3,9,2,3,2,5,3,9,3,10,1,4,3,7,3,10
3,0,0,3,10,2,6,3,9,3,10,3,10,1,4,3,10,3,10,1,4,3,0,1,5,2,5,3,7,3,10
4,3,10,3,10,3,10,3,10,3,10,3,10,3,10,3,10,3,10,3,5,3,3,3,8,3,2,3,10,3,10
5,1,10,3,5,2,6,3,9,3,10,2,8,1,10,3,10,3,9,1,9,1,2,3,10,1,4,3,7,3,10
6,2,5,3,7,1,3,2,6,2,5,2,6,2,4,2,5,2,5,2,5,0,0,1,4,0,2,0,4,1,6
7,3,7,3,9,1,7,3,7,3,9,2,8,3,10,3,8,3,8,3,9,3,10,3,9,1,4,3,10,3,8
8,3,8,3,10,2,1,3,6,3,7,3,3,3,9,3,7,3,6,3,10,3,2,3,7,0,0,3,6,3,10
9,0,0,2,10,2,8,3,10,3,5,1,4,0,3,1,7,3,10,0,1,2,0,0,0,0,0,3,7,3,10
10,3,9,3,9,2,8,3,10,3,9,3,9,2,10,3,10,2,7,3,9,3,6,3,10,1,5,2,8,3,10
11,0,9,3,8,2,7,3,10,1,9,3,8,0,6,3,9,3,9,1,9,3,5,0,10,2,2,2,4,3,10
12,3,7,3,5,1,3,3,5,3,6,1,2,2,7,3,7,3,6,3,6,2,2,3,9,2,1,1,4,3,7
13,3,10,3,10,2,7,3,10,3,8,3,9,2,6,3,10,3,10,3,9,3,10,3,10,2,9,2,8,3,10
14,1,8,3,9,2,6,3,9,3,9,3,4,3,7,3,7,2,8,1,6,3,4,1,10,1,2,3,6,3,9
15,2,10,3,10,3,6,3,9,3,10,0,3,0,10,3,10,2,4,3,8,1,3,3,10,0,1,3,6,3,10
16,3,6,3,10,3,9,3,10,2,2,3,8,2,7,2,2,2,4,2,1,2,5,2,5,2,1,2,8,3,10
17,1,10,2,10,0,10,3,10,0,10,1,5,0,2,3,10,2,9,3,10,3,10,2,8,0,5,3,10,3,10
18,1,1,2,4,2,1,3,10,3,10,1,1,1,2,0,2,3,9,2,6,1,4,1,5,1,5,2,7,3,10
19,0,2,2,5,2,5,3,7,0,0,0,0,1,4,3,7,1,3,1,2,0,2,0,1,1,2,1,2,3,6
20,0,1,3,7,1,1,3,8,1,2,0,0,0,0,2,5,2,6,1,3,0,0,0,0,0,0,3,9,3,10
21,3,9,3,9,3,5,3,7,3,9,3,6,2,10,3,10,3,9,3,10,3,3,3,10,2,1,3,9,3,10
22,0,4,1,5,0,2,3,7,1,4,0,3,1,5,2,5,0,2,0,6,1,3,1,6,0,1,2,6,3,9
23,1,10,2,7,0,0,3,8,3,9,0,0,0,10,3,10,2,6,3,9,0,0,0,0,0,0,0,0,3,10
24,3,7,3,7,3,3,3,8,3,4,3,3,1,5,3,7,3,3,3,8,3,6,3,9,1,1,3,5,3,8
25,3,8,3,10,3,10,3,10,3,10,2,8,3,10,3,10,3,8,3,9,2,8,3,8,2,6,3,10,3,10
26,3,6,3,10,3,9,3,8,3,9,3,7,3,9,3,7,3,7,3,8,3,7,2,5,2,6,3,9,3,10
27,1,2,3,4,3,4,3,5,3,7,3,3,3,10,3,8,3,7,2,5,3,8,3,9,0,9,2,8,3,7
28,3,9,3,8,3,6,3,9,3,8,3,6,3,10,3,9,3,9,3,9,3,4,3,10,1,4,3,10,3,10
